timestamp,symbol,signal_type,confidence,tier,entry_price,stop_loss,take_profit_1,take_profit_2
2024-01-15T08:30:00Z,BTCUSD,LONG,0.92,PROFESSIONAL-GRADE,42350.50,42100.00,42600.00,42850.00
2024-01-15T09:45:00Z,ETHUSD,LONG,0.78,PROFESSIONAL,2250.25,2200.00,2300.00,2350.00
2024-01-15T10:30:00Z,XAUUSD,SHORT,0.85,PROFESSIONAL-GRADE,2580.50,2600.00,2560.00,2540.00
2024-01-15T11:15:00Z,EURUSD,SHORT,0.72,STANDARD,1.1050,1.1080,1.1020,1.0990
2024-01-15T14:30:00Z,BTCUSD,LONG,0.88,PROFESSIONAL,42500.00,42250.00,42750.00,43000.00
2024-01-15T15:45:00Z,ETHUSD,SHORT,0.65,STANDARD,2240.00,2270.00,2210.00,2180.00
2024-01-16T08:00:00Z,XAUUSD,LONG,0.91,PROFESSIONAL-GRADE,2585.00,2570.00,2610.00,2635.00
2024-01-16T10:30:00Z,EURUSD,LONG,0.79,PROFESSIONAL,1.1075,1.1045,1.1110,1.1145
2024-01-16T13:15:00Z,BTCUSD,SHORT,0.83,PROFESSIONAL-GRADE,42700.00,42950.00,42450.00,42200.00
2024-01-16T15:00:00Z,ETHUSD,LONG,0.76,PROFESSIONAL,2280.00,2250.00,2320.00,2360.00
2024-01-17T08:30:00Z,XAUUSD,SHORT,0.87,PROFESSIONAL,2590.00,2610.00,2570.00,2550.00
2024-01-17T09:45:00Z,EURUSD,SHORT,0.81,PROFESSIONAL,1.1065,1.1095,1.1030,1.0995
2024-01-17T11:00:00Z,BTCUSD,LONG,0.89,PROFESSIONAL-GRADE,42600.00,42350.00,42850.00,43100.00
2024-01-17T14:30:00Z,ETHUSD,SHORT,0.68,STANDARD,2260.00,2290.00,2230.00,2200.00
2024-01-17T16:00:00Z,XAUUSD,LONG,0.86,PROFESSIONAL-GRADE,2582.00,2567.00,2607.00,2632.00
2024-01-18T08:00:00Z,EURUSD,LONG,0.77,PROFESSIONAL,1.1080,1.1050,1.1115,1.1150
2024-01-18T10:15:00Z,BTCUSD,SHORT,0.84,PROFESSIONAL-GRADE,42550.00,42800.00,42300.00,42050.00
2024-01-18T12:30:00Z,ETHUSD,LONG,0.73,PROFESSIONAL,2270.00,2240.00,2310.00,2350.00
2024-01-18T14:45:00Z,XAUUSD,SHORT,0.88,PROFESSIONAL-GRADE,2588.00,2608.00,2568.00,2548.00
2024-01-18T16:30:00Z,EURUSD,SHORT,0.75,PROFESSIONAL,1.1055,1.1085,1.1020,1.0985
